id,name,one_line_value,why_it_matters,value_created,how_it_fits,hero_image,verified
mitra-foods,Mitra Foods,"Demonstrates packaged food scale in India","Demonstrates pathway to scale for packaged food","improved manufacturing-to-shelf logistics; supplier linkages","Informs consumer distribution blueprint across South Asia and Middle East",,no
omspace-rocket,Omspace Rocket,"Advancing indigenous launch capability","Advances indigenous capabilities in launch and payload systems","high-skill engineering jobs; upstream supplier ecosystem","Platform-scale frontier tech with regional industrial spillovers",,no
sow-and-reap,Sow and Reap,"Practical climate solutions for agriculture","Provides biochar and carbon removal for farming value chains","new revenue streams for farmers; verifiable carbon outcomes","Extends sustainability platform into farming communities",,no
skippi,Skippi,"Consumer brand scaling across regional markets","Converts product innovation into broad consumer adoption","demand for local manufacturing; distribution efficiencies","Consumer-platform exemplar for go-to-market playbooks",,no
tracker-suite,Tracker Suite AI,"AI applied to enterprise operations","Improves operational predictability and cost control","productivity gains for customers; efficient logistics orchestration","Technology layer that enhances operating platforms",,no
lucky-avocado,Lucky 4U Avocado Limited,"End-to-end export capacity for avocado","Builds integrated procurement, processing and export","farmer income uplift; processing jobs; reliable export supply chains","Core operating platform aligning production, processing and trade corridors",,no
lucky-traders,Lucky 4U Traders FZCO,"Commercial backbone for trade and clearance","Centralises trade, clearance and distribution capabilities","streamlined market access; reduced friction for portfolio brands","Group’s commercial backbone for cross-border trade",,no
smartbridge,Smartbridge Distribution,"Regional distribution platform for East Africa","Closes last-mile distribution gaps","improved product availability; logistics jobs; resilient supply chains","Scales upstream supplier demand into formal markets",,no
cornerstone-ventures,Cornerstone Ventures Fund,"Venture & growth-stage exposure","Access to professionally managed venture vehicles","portfolio diversification; thematic exposure","Complements direct operations with targeted tech exposure",,no
1mx-ai-fund,1MX AI Fund,"Targeted AI thematic exposure","Positions the group in foundational AI platforms","thematic access to automation and enterprise capabilities","Augments operational stack with future-facing tech",,no
non-public,Non Public Pty Ltd,"Selective secondary market access","Access to mature private companies pre-IPO","differentiated return profiles; strategic optionality","Tactical secondary exposure supporting portfolio construction",,no
